index,plate_id,registration_state,plate_type,violation_code,school_zone_violations,violation_borough,violation_description,manhattan_96_below_fine,all_other_fine,fines,row_num,row_pct,cum_share,school_zone_violations_binned,red_light_violations
5449464,KFT6877,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,85981,0.02882232440392486,0.010843262881088065,1,0.0
5472905,KGB2629,PA,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,86981,0.029157541770598018,0.01096937372848738,1,0.0
5464110,KFZ3092,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,87981,0.029492759137271177,0.011095484575886699,1,0.0
5424582,KFM671,VT,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,88981,0.029827976503944337,0.011221595423286015,1,0.0
5416551,KFL5606,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,89981,0.030163193870617493,0.011347706270685333,1,0.0
5443535,KFS2208,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,90979,0.030497740802557308,0.01147356489638985,1,0.0
5434621,KFP6553,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,91979,0.030832958169230464,0.011599675743789168,1,0.0
5765988,KKE3174,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,92979,0.031168175535903623,0.011725786591188484,1,0.0
5756640,KKC7418,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,93979,0.03150339290257678,0.0118518974385878,1,0.0
5782331,KKG7268,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,94979,0.03183861026924994,0.011978008285987118,1,1.0
5772589,KKF3758,NY,PAS,36,1,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,95977,0.03217315720118975,0.012103866911691635,1,1.0
5733733,KJX8913,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,96977,0.03250837456786291,0.012229977759090953,1,0.0
5724730,KJW1377,NY,PAS,36,1,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,97977,0.03284359193453607,0.012356088606490269,1,0.0
5748646,KKA9942,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,98977,0.03317880930120923,0.012482199453889587,1,0.0
5741212,KJZ7593,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,99977,0.03351402666788239,0.012608310301288903,1,0.0
5834119,KKX7938,NC,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,100977,0.033849244034555546,0.01273442114868822,1,0.0
5827053,KKV1475,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,101975,0.03418379096649536,0.012860279774392738,1,0.0
5851562,KLA9406,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,102975,0.03451900833316852,0.012986390621792056,1,1.0
5843466,KKZ6028,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,103973,0.03485355526510833,0.013112249247496573,1,0.0
5806234,KKP5120,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,104972,0.03518843741441482,0.01323823398404849,1,0.0
5797677,KKM3900,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,105972,0.035523654781087974,0.013364344831447808,1,0.0
5821282,KKT2183,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,106972,0.03585887214776114,0.013490455678847125,1,0.0
5810456,KKR2234,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,107972,0.03619408951443429,0.013616566526246442,1,0.0
5650242,KHY4557,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,108971,0.03652897166374078,0.01374255126279836,1,0.0
5640948,KHV8865,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,109971,0.036864189030413934,0.013868662110197676,1,2.0
